vendor_id,hex_code
KMS_BHU_02,#3e4989
DMC_KOT_01,#3e4989
MDT_GGN_04,#3e4989
M2V_BAN_05,#3e4989
TMH_GGN_02,#3e4989
TPH_HYD_19,#3e4989
NAT_BAN_06,#3e4989
RSM_MMB_16,#3e4989
SMC_RAN_01,#3e4989
NHM_RAN_02,#3e4989
SAI_DEL_08,#3e4989
WLF_MMB_14,#3e4989
ROY_AHM_06,#3e4989
MCD_BAN_04,#3e4989
SMD_GWL_01,#3e4989
MDT_GGN_03,#3e4989
SAM_NOI_03,#3e4989
MLP_CHN_04,#3e4989
MWD_PAT_03,#3e4989
WLF_MMB_09,#3e4989
AKP_HYD_12,#3e4989
SUN_IND_04,#3e4989
SUN_IND_03,#3e4989
BHP_CHN_02,#3e4989
MMT_PAT_01,#3e4989
MMP_GWL_02,#3e4989
CDD_GUW_02,#3e4989
ZMH_HYD_10,#3e4989
BPS_JOD_01,#3e4989
M2D_BAN_05,#3e4989
SGH_HYD_20,#3e4989
