vendor_id,hex_code
9T9_DEL_51,#1e9d88
FGH_BAN_06,#1e9d88
DYG_DEL_50,#1e9d88
SBL_DEL_40,#1e9d88
MSE_DEL_35,#1e9d88
SSE_DEL_42,#1e9d88
GTC_DEL_42,#1e9d88
BBC_LUD_01,#1e9d88
SBA_DEL_39,#1e9d88
DDR_DEL_31,#1e9d88
MHA_DEL_49,#1e9d88
MPC_BAN_07,#1e9d88
RKS_GGN_03,#1e9d88
DPA_PUN_02,#1e9d88
TFS_DEL_41,#1e9d88
GPT_DEL_34,#1e9d88
NDP_NOI_03,#1e9d88
SIM_CHN_13,#1e9d88
BLP_GGN_04,#1e9d88
STA_DEL_43,#1e9d88
NBG_DEL_43,#1e9d88
OIP_LUC_02,#1e9d88
SMG_MMB_05,#1e9d88
PEN_HYD_12,#1e9d88
NDP_DLI_01,#1e9d88
KAP_DEL_33,#1e9d88
MLP_CHN_04,#1e9d88
DFP_AHM_07,#1e9d88
MHR_MMB_03,#1e9d88
BTM_DEL_46,#1e9d88
KHH_DEL_52,#1e9d88
PNT_DEL_47,#1e9d88
HAT_DEL_44,#1e9d88
UMG_MMB_05,#1e9d88
JIV_FRD_01,#1e9d88
MMS_DEL_47,#1e9d88
ZVP_MMB_02,#1e9d88
ZMH_HYD_10,#1e9d88
SKP_BAN_06,#1e9d88
IPL_HYD_19,#1e9d88
EMB_PUN_01,#1e9d88
AVL_LUD_01,#1e9d88
ARX_MMB_05,#1e9d88
SPA_DEH_01,#1e9d88
MPP_JAI_03,#1e9d88
PLT_MOH_01,#1e9d88
NMS_DEL_44,#1e9d88
BHC_DEL_37,#1e9d88
GTK_DEL_45,#1e9d88
RPP_DEL_48,#1e9d88
MLP_CHN_11,#1e9d88
SRL_BAN_07,#1e9d88
ARP_DEL_43,#1e9d88
INC_GGN_03,#1e9d88
