vendor_id,hex_code
MHR_MMB_03,#b5dd2b
SMG_MMB_05,#b5dd2b
GTK_DEL_45,#b5dd2b
NDP_DLI_01,#b5dd2b
9T9_DEL_51,#b5dd2b
HAT_DEL_44,#b5dd2b
DFP_AHM_07,#b5dd2b
JIV_FRD_01,#b5dd2b
BLP_GGN_04,#b5dd2b
MMS_DEL_47,#b5dd2b
PEN_HYD_12,#b5dd2b
MPP_JAI_03,#b5dd2b
NDP_NOI_03,#b5dd2b
ZMH_HYD_10,#b5dd2b
KHH_DEL_52,#b5dd2b
BHC_DEL_37,#b5dd2b
IPL_HYD_19,#b5dd2b
STA_DEL_43,#b5dd2b
PLT_MOH_01,#b5dd2b
SBL_DEL_40,#b5dd2b
NBG_DEL_43,#b5dd2b
MLP_CHN_04,#b5dd2b
AVL_LUD_01,#b5dd2b
DDR_DEL_31,#b5dd2b
RPP_DEL_48,#b5dd2b
TFS_DEL_41,#b5dd2b
KAP_DEL_33,#b5dd2b
GPT_DEL_34,#b5dd2b
ZVP_MMB_02,#b5dd2b
EMB_PUN_01,#b5dd2b
SIM_CHN_13,#b5dd2b
MHA_DEL_49,#b5dd2b
FGH_BAN_06,#b5dd2b
NMS_DEL_44,#b5dd2b
MLP_CHN_11,#b5dd2b
BBC_LUD_01,#b5dd2b
OIP_LUC_02,#b5dd2b
INC_GGN_03,#b5dd2b
MPC_BAN_07,#b5dd2b
DYG_DEL_50,#b5dd2b
PNT_DEL_47,#b5dd2b
SPA_DEH_01,#b5dd2b
ARX_MMB_05,#b5dd2b
SBA_DEL_39,#b5dd2b
UMG_MMB_05,#b5dd2b
ARP_DEL_43,#b5dd2b
SRL_BAN_07,#b5dd2b
GTC_DEL_42,#b5dd2b
SSE_DEL_42,#b5dd2b
RKS_GGN_03,#b5dd2b
BTM_DEL_46,#b5dd2b
