vendor_id,hex_code
RMC_IND_05,#35b778
FMH_LUD_04,#35b778
SAN_MMB_06,#35b778
SMS_PUN_05,#35b778
MSE_DEL_35,#35b778
XLL_DEL_40,#35b778
OPH_PUN_03,#35b778
HOF_CHN_07,#35b778
P2P_BAN_07,#35b778
UNS_KOL_11,#35b778
HXR_KOL_10,#35b778
BMD_PUN_03,#35b778
CDD_GUW_01,#35b778
LMM_MMB_07,#35b778
SVP_BHU_05,#35b778
MDF_CHN_08,#35b778
HKM_JAI_04,#35b778
HPP_BHU_03,#35b778
FMH_LUD_02,#35b778
UNM_JAI_04,#35b778
OMP_DEL_36,#35b778
SYN_JAI_05,#35b778
SHD_GZB_03,#35b778
NMC_MMB_08,#35b778
PPP_BAN_06,#35b778
KMS_BHU_01,#35b778
NCB_KOL_12,#35b778
NML_BAN_04,#35b778
ABT_VAR_01,#35b778
OBP_KOL_06,#35b778
MPP_JAI_03,#35b778
MPL_HYD_16,#35b778
